1,Creative Web Logic,15 parkview crs,,,yamba,,Queensland,2464,0,web-design-development,266469941,400923532,0,info@creativeweblogic.net,www.creativeweblogic.net,daniel ruul,OUBoUa,1,0,xxx,"Yamba, Maclean Web Design and Development. Creative web logic has worked on projects big and small, we strive towards excellence and engage professionalism in all regards. We have recently moved to Yamba NSW for a bit of a sea change and now is working on a few local projects including this directory.                                    ",3737,Approved,0
2,Angourie Waves Apartments ,17 Bay Street,,,yamba,,Queensland,2464,0,angourie-waves-apartments,02 66 462 321,02 66 462 321,02 66 462 321,rentals@eldersyamba.com.au,www.angouriewaves.com.au,admin,6oZyX4,1,0,xxx,Angourie is a quiet village overlooking world class surfing beaches and surrounded by magnificent Yuraygir National Park. Nearby is the beachside fishing port of Yamba. Let Angourie Waves be your ideal escape destination.                ,933,New,0
3,Angourie Rainforest Resort,166 Angourie Rd ,,,yamba,,Queensland,2464,0,angourie-rainforest-resort,61 2 6646 8600,61 2 6646 8600,61 2 6646 8611,enquiry@angourieresort.com.au,www.angourieresort.com.au,admin,iLZyfh,1,0,xxx,"Angourie Rainforest is a beautiful Resort in paradise that lies between sandy shores and treasured national parks on the Yamba peninsula. With 2 bedroom villas and 1 bedroom suites set against a rainforest backdrop, the award winning Resort offers entertainment for everyone. Enjoy swimming pools, an activities room, indoor and outdoor kids playground areas,  free Eco Kids, ClubBar, Restaurant,  Day Spa, Tennis Court and much much more.                 ",933,New,0
4,Digital Blitz,home office,,,surfers paradise,,Queensland,4217,0,digitalblitz,07 5538 7722,405451873,0,sales@digitalblitz.com.au,digitalblitz.com.au,simon,s1Rytc,1,0,33,"Digital blitz understands the needs of business. We have developed a solution to manage multiple websites, content and hosting. A stable system that included content creation and customised design. Create new and manage multiple websites. Suports multiple languages and google analytics is installed for reporting and tracking. Superior customer services and support make us the ultimate website development organisation on the gold coast and possibliy Australia. Full agency support includes copy writers, graphic artisits and programmers. Project managed services drive projects to complete on time and budget. Call simon on 07 5538 77 22 for a quote today.                 ",934,New,0
5,Manage Websites,Gold Caost,,,All areas,,Queensland,4217,0,Manage-websites,07 5538 7722,405451873,0,sales@digitalblitz.com.au,managewebsites.com.au,simon,F6UNkC,1,0,2," We have designed a simple to use website management system that allows you to manage multiple websites through one central solution.  The solution builds new websites and content dynamically. Aimed at the business professional looking to develop online content and search engine promotion.  A real-time, simple to use websites system design to promote your online content and improve your website rankings. We recommend and will install, google analytics, so that you can monitor and modify your own online marketing strategy. This is a customised service designed to appeal to a wide range of Australian and International business.

We will develop up to 10+ websites for you through a simple to use content management system (CMS). This system will incorporate existing static websites but any programming or database requirements can be integrated through additional specifications.
Perfect solution for corporate individuals and business, promote your services and products through a very easy to use centralised website management system. Our CMS allows you to include add websites, pages, edit, Latest news area/Specials, create key word rich content and make your new website solution relevant .

A real-time, simple to use websites system design to promote online content and website rankings. We recommend and will install, Google analytics, so that you can monitor and modify your own websites.

manage multiple websites from a single administration

                ",934,New,0
7,Digital Blitz,s,,,surfers paradise,,Queensland,4217,0,digital-blitz,07 5538 7722,0,0,sales@digitalblitz.com.au,digitalblitz.com.au,Simon Vaughan,,1,0,4,hello world                ,1868,New,0
8,IWebBiz,xxx,,,gold coast,,Queensland,4215,0,iwebbiz,543543,435435,45435,dan@iwebbiz.com.au,iwebbiz.com.au,Daniel Ruul,iwebbiz,1,0,dfgdfg,hello world                ,1868,New,0
9,Creative Web Logic,yamba,,,yamba,,New South Wales,2464,0,creative-web-logic,266469941,266469941,0,info@creativeweblogic.net,www.creativeweblogic.net,dan rule,info@creativeweblogic.net,1,0,666,hello world                ,1868,New,0
10,Yamba Aston Motel,37 Coldstream Street,,,Yamba,,New South Wales,2464,0,yamba-aston-motel,(02) 66462199,12345,12345,yambadirectory2464@gmail.com,www.yambansw.net/business,kim,kcnewsite0001,1,0,12345,                ,933,New,0
11,Creative Web Logic,15 parkview crs,,,yamba,,New South Wales,2464,0,creative-web-logic,266469941,266469941,266469941,info@creativeweblogic.net,http://www.creativeweblogic.net,Daniel Ruul,info@creativeweblogic.net,1,0,266469941,"We have been in business since 1999 and have delivered website design, software engineering and marketing solutions for clients throughout Australia. Specialising in graphical design for web, search engine optimisation and internet marketing, development of websites and web based application software and Microsoft Windows .NET Application software. We provide a complete solution to meet client needs.

Our professionalism sets us apart from most web development, software engineering and internet marketing companies. Drawing on over ten years experience, and working with a diverse range of companies.          ",3736,New,0
12,Yamba Web Design,15 parkview crs,,,yamba,,Queensland,2464,0,yamba-web-design,266469941,0,0,info@yambawebdesign.com,yambawebdesign.com,Daniel Ruul,info@yambawebdesign.com,1,0,xxx,"Yamba Web Design Dot Com is dedicated to servicing the clarence valley region, including Yamba, Maclean, and grafton for all online services.          ",934,New,0
13,Yamba Web Design,15 parkview crs,,,yamba,,New South Wales,2464,0,yamba-web-design,266469941,0,0,info@yambawebdesign.com,yambawebdesign.com,Daniel Ruul,info@yambawebdesign.com,1,0,xxx,Yamba web design is dedicated to service the development needs of the Clarence Valley especially yamba. We can use open source as well as proprietary computer languages such as PHP and ASP.Net,3736,New,0
14,Ashby Cottage,2 Tullymorgan Road,,,ashby,,New South Wales,2464,0,ashby-cottage,(02) 6645 4686,0,(02) 6645 5348,ashbycottage@bigpond.com ,www.ashbycottage.com,Jeoff & Julie Turner,ashbycottage@bigpond.com ,1,0,0,"Ashby Cottage is a perfect getaway for that romantic weekend away from prying eye's or will accommodate for a night away with friends,the choice is your's!

Situated high on the hill at Ashby with beautiful views of the Clarence River,coastal plains extending  to the ocean. The cottage has it's own large private balcony with barbecue ,two bedrooms,two bathrooms,(one with spa),make your own cocktails in your self contained kitchen,while your guests wait in the dining room or lounge with a rustic wood fireplace,With all the mod cons such as  TV, DVD, VCR, CD and  for those hot day's the swimming pool will keep you cool as your car sits pretty in it's own carport.
Wake up to the serenity of silence as the surrounding nature starts the day with you. Enjoy cooking your own breakfast the way you like it provided by us. Be at peace as you gaze over the magnificent Clarence valley and beyond,feel the city stress slip away. So just give us a call we're already here.
4 Star Rating ",933,New,0
